,,,,dr,cr,net,holding,p&l,,,Nifty Performance,Strategy performance
2024-03-09 00:00:00,Settlement Posting-NU4165,DLV1-0309-NU4165/HPC39_5,2024-02-09 00:00:00,1080618.24,0,-1080618.24,,,,,,
2024-03-09 00:00:00,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,2024-02-09 00:00:00,18951655.42,0,-20032273.66,,,,25278.7,1,
22-10-2024,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,21-10-2024,,0,-20032273.66,19411044,-621229.66,,24781.1,0.9803154434,0.9689885596
23-10-2024,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,22-10-2024,,0,-20032273.66,18628512,-1403761.66,,24472.1,0.9680917136,0.9299249958
24-10-2024,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,23-10-2024,,0,-20032273.66,18861927,-1170346.66,,24435.5,0.9666438543,0.9415769433
25-10-2024,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,24-10-2024,,0,-20032273.66,18716869,-1315404.66,,24399.4,0.9652157745,0.9343357283
28-10-2024,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,25-10-2024,,0,-20032273.66,18138954,-1893319.66,,24180.8,0.956568178,0.9054865318
29-10-2024,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,28-10-2024,,0,-20032273.66,18834889,-1197384.66,,24339.15,0.962832345,0.9402272213
30-10-2024,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,29-10-2024,,0,-20032273.66,19101220,-931053.66,,24466.85,0.9678840288,0.9535223172
31-10-2024,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,30-10-2024,,0,-20032273.66,19101220,-931053.66,,24340.85,0.9628995953,0.9535223172
2024-01-11 00:00:00,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,31-10-2024,,0,-20032273.66,19236397,-795876.66,,24205.35,0.9575393513,0.9602702782
2024-04-11 00:00:00,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,2024-01-11 00:00:00,,0,-20032273.66,19378649,-653624.66,,24304.35,0.9614556919,0.9673714192
2024-05-11 00:00:00,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,2024-04-11 00:00:00,,0,-20032273.66,19013361,-1018912.66,,23995.35,0.9492319621,0.9491364447
2024-06-11 00:00:00,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,2024-05-11 00:00:00,,0,-20032273.66,19171102,-861171.66,,24213.3,0.9578538453,0.957010788
2024-07-11 00:00:00,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,2024-06-11 00:00:00,,0,-20032273.66,19718329,-313944.66,,24484.05,0.9685644436,0.9843280565
2024-08-11 00:00:00,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,2024-07-11 00:00:00,,0,-20032273.66,19542817,-489456.66,,24199.35,0.9573019973,0.9755665948
2024-11-11 00:00:00,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,2024-08-11 00:00:00,,0,-20032273.66,18955853,-1076420.66,,24148.2,0.9552785547,0.9462656772
2024-12-11 00:00:00,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,2024-11-11 00:00:00,,0,-20032273.66,18862394,-1169879.66,,24141.3,0.9550055976,0.9416002557
13-11-2024,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,2024-12-11 00:00:00,,0,-20032273.66,18652204,-1380069.66,,23883.45,0.9448053104,0.9311076874
14-11-2024,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,13-11-2024,,0,-20032273.66,17914121,-2118152.66,,23559.05,0.931972372,0.894262993
18-11-2024,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,14-11-2024,,0,-20032273.66,17934330,-2097943.66,,23532.7,0.9309299924,0.8952718151
19-11-2024,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,18-11-2024,,0,-20032273.66,17903741,-2128532.66,,23453.8,0.9278087876,0.8937448292
21-11-2024,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,19-11-2024,,0,-20032273.66,18236937,-1795336.66,,23518.5,0.9303682547,0.9103777888
22-11-2024,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,21-11-2024,,0,-20032273.66,18143354,-1888919.66,,23349.9,0.9236986079,0.9057061773
25-11-2024,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,22-11-2024,,0,-20032273.66,18252373,-1779900.66,,23907.25,0.9457468145,0.9111483454
26-11-2024,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,25-11-2024,,0,-20032273.66,18252373,-1779900.66,,24221.9,0.9581940527,0.9111483454
27-11-2024,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,26-11-2024,,0,-20032273.66,18430398,-1601875.66,,24194.5,0.9571101362,0.9200352548
28-11-2024,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,27-11-2024,,0,-20032273.66,18694188,-1338085.66,,24274.9,0.9602906795,0.9332035054
29-11-2024,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,28-11-2024,,0,-20032273.66,18898033,-1134240.66,,23914.15,0.9460197716,0.9433793348
2024-02-12 00:00:00,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,29-11-2024,,0,-20032273.66,18902497,-1129776.66,,24131.1,0.9546020958,0.9436021752
2024-03-12 00:00:00,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,2024-02-12 00:00:00,,0,-20032273.66,19093250,-939023.66,,24276.05,0.9603361724,0.9531244593
2024-04-12 00:00:00,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,2024-03-12 00:00:00,,0,-20032273.66,19255787,-776486.66,,24457.15,0.9675003066,0.9612382162
2024-05-12 00:00:00,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,2024-04-12 00:00:00,,0,-20032273.66,19423700,-608573.66,,24467.45,0.9679077642,0.9696203401
2024-06-12 00:00:00,Settlement Posting-NG4165,DLV3-0309-NG4165/HPC39_5,2024-05-12 00:00:00,,0,-20032273.66,19776143,-256130.66,,24708.4,0.9774395044,0.9872140994
2024-09-12 00:00:00,Settlement Posting-NG4231,DLV1-0912-NG4231/HPC39_5,2024-06-12 00:00:00,0,1040095.91,-18992180.47,19997329,1005148.53,,24677.8,0.9762289991,0.9982555819
2024-09-12 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2024-06-12 00:00:00,1444239.67,0,-20436420.14,19997329,-439091.14,,24619.0,0.9739029301,0.9982555819
2024-10-12 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2024-09-12 00:00:00,,0,-20436420.14,20295915,-140505.14,,24610.05,0.9735488771,1.01316083
2024-11-12 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2024-10-12 00:00:00,,0,-20436420.14,20232458,-203962.14,,24641.8,0.9748048753,1.009993091
2024-12-12 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2024-11-12 00:00:00,,0,-20436420.14,20334090,-102330.14,,24548.7,0.9711219327,1.015066504
13-12-2024,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2024-12-12 00:00:00,,0,-20436420.14,20197513,-238907.14,,24768.3,0.9798090883,1.008248656
16-12-2024,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,13-12-2024,,0,-20436420.14,20132383,-304037.14,,24668.25,0.9758512107,1.004997403
17-12-2024,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,16-12-2024,,0,-20436420.14,20438957,2536.86,,24336.0,0.9627077342,1.020301407
18-12-2024,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,17-12-2024,,0,-20436420.14,20509210,72789.86,,24198.85,0.9572822178,1.023808398
19-12-2024,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,18-12-2024,,0,-20436420.14,20219478,-216942.14,,23951.7,0.9475052119,1.009345137
20-12-2024,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,19-12-2024,,0,-20436420.14,20275255,-161165.14,,23587.5,0.9330978254,1.012129494
2024-12-23 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2024-12-20 00:00:00,,0,-20436420.14,19895764,-540656.14,,23753.45,0.9396626409,0.9931855134
2024-12-24 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2024-12-23 00:00:00,,0,-20436420.14,19718128,-718292.14,,23727.65,0.9386420188,0.9843180227
2024-12-26 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2024-12-24 00:00:00,,0,-20436420.14,19681670,-754750.14,,23750.2,0.9395340741,0.9824980596
2024-12-27 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2024-12-26 00:00:00,,0,-20436420.14,19695386,-741034.14,,23813.4,0.9420342027,0.9831827547
2024-12-30 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2024-12-27 00:00:00,,0,-20436420.14,19711492,-724928.14,,23644.9,0.9353685118,0.9839867573
2024-12-31 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2024-12-30 00:00:00,,0,-20436420.14,19814514,-621906.14,,23644.8,0.9353645559,0.9891295584
2025-01-01 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2024-12-31 00:00:00,,0,-20436420.14,20002348,-434072.14,,23742.9,0.9392452935,0.9985061276
2025-01-02 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-01 00:00:00,,0,-20436420.14,20215397,-221023.14,,24188.65,0.9568787161,1.009141416
2025-01-03 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-02 00:00:00,,0,-20436420.14,20388561,-47859.14,,24004.75,0.9496038167,1.017785667
2025-01-06 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-03 00:00:00,,0,-20436420.14,20341983,-94437.14,,23616.05,0.9342272348,1.015460519
2025-01-07 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-06 00:00:00,,0,-20436420.14,19522049,-914371.14,,23707.9,0.9378607286,0.9745298677
2025-01-08 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-07 00:00:00,,0,-20436420.14,19663037,-773383.14,,23688.95,0.9371110856,0.9815679105
2025-01-09 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-08 00:00:00,,0,-20436420.14,19432832,-1003588.14,,23526.5,0.9306847267,0.9700762045
2025-01-10 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-09 00:00:00,,0,-20436420.14,18980337,-1456083.14,,23431.5,0.926926622,0.9474879049
2025-01-13 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-10 00:00:00,,0,-20436420.14,18471411,-1965009.14,,23085.95,0.9132570108,0.922082601
2025-01-14 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-13 00:00:00,,0,-20436420.14,17454830,-2981590.14,,23176.05,0.9168212764,0.8713354408
2025-01-15 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-14 00:00:00,,0,-20436420.14,17931702,-2504718.14,,23213.2,0.9182908931,0.8951406268
2025-01-16 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-15 00:00:00,,0,-20436420.14,17977307,-2459113.14,,23311.8,0.9221914102,0.8974172031
2025-01-17 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-16 00:00:00,,0,-20436420.14,18228832,-2207588.14,,23203.2,0.9178953032,0.9099731917
2025-01-20 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-17 00:00:00,,0,-20436420.14,18318327,-2118093.14,,23344.75,0.9234948791,0.9144407325
2025-01-21 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-20 00:00:00,,0,-20436420.14,18409974,-2026446.14,,23024.65,0.9108320444,0.9190157
2025-01-22 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-21 00:00:00,,0,-20436420.14,17638391,-2798029.14,,23155.35,0.9160024052,0.8804987042
2025-01-23 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-22 00:00:00,,0,-20436420.14,17056813,-3379607.14,,23205.35,0.917980355,0.8514666527
2025-01-24 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-23 00:00:00,,0,-20436420.14,17267087,-3169333.14,,23092.2,0.9135042546,0.8619634143
2025-01-27 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-24 00:00:00,,0,-20436420.14,16913910,-3522510.14,,22829.15,0.9030982606,0.8443330142
2025-01-28 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-27 00:00:00,,0,-20436420.14,16140799,-4295621.14,,22957.25,0.908165768,0.8057397415
2025-01-29 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-28 00:00:00,,0,-20436420.14,15508859,-4927561.14,,23163.1,0.9163089874,0.7741936469
2025-01-30 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-29 00:00:00,,0,-20436420.14,16255302,-4181118.14,,23249.5,0.9197268847,0.8114556678
2025-01-31 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-30 00:00:00,,0,-20436420.14,16440892,-3995528.14,,23508.4,0.9299687088,0.8207202177
2025-02-01 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-01-31 00:00:00,,0,-20436420.14,17087239,-3349181.14,,23482.15,0.9289302852,0.8529855018
2025-02-03 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-02-01 00:00:00,,0,-20436420.14,16919726,-3516694.14,,23361.05,0.9241396907,0.8446233457
2025-02-04 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-02-03 00:00:00,,0,-20436420.14,16275181,-4161239.14,,23739.25,0.9391009031,0.8124480164
2025-02-05 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-02-04 00:00:00,,0,-20436420.14,16334152,-4102268.14,,23696.3,0.9374018442,0.8153918161
2025-02-06 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-02-05 00:00:00,,0,-20436420.14,16596165,-3840255.14,,23603.35,0.9337248355,0.8284713599
2025-02-07 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-02-06 00:00:00,,0,-20436420.14,16462532,-3973888.14,,23559.95,0.9320079751,0.8218004745
2025-02-10 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-02-07 00:00:00,,0,-20436420.14,16625663,-3810757.14,,23381.6,0.9249526281,0.8299438837
2025-02-11 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-02-10 00:00:00,,0,-20436420.14,16306356,-4130064.14,,23071.8,0.912697251,0.8140042552
2025-02-12 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-02-11 00:00:00,,0,-20436420.14,15741332,-4695088.14,,23045.25,0.9116469597,0.7857985702
2025-02-13 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-02-12 00:00:00,,0,-20436420.14,15833360,-4603060.14,,23031.4,0.9110990676,0.790392557
2025-02-14 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-02-13 00:00:00,,0,-20436420.14,15749065,-4687355.14,,22929.25,0.9070581161,0.7861845973
2025-02-17 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-02-14 00:00:00,,0,-20436420.14,15334741,-5101679.14,,22959.5,0.9082547758,0.7655017728
2025-02-18 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-02-17 00:00:00,,0,-20436420.14,15352797,-5083623.14,,22945.3,0.907693038,0.7664031183
2025-02-20 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-02-18 00:00:00,,0,-20436420.14,15117847,-5318573.14,,22932.9,0.9072025065,0.7546745445
2025-02-20 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-02-19 00:00:00,,0,-20436420.14,15474908,-4961512.14,,22913.15,0.9064212163,0.7724988318
2025-02-21 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-02-20 00:00:00,,0,-20436420.14,15670109,-4766311.14,,22795.9,0.901782924,0.7822431575
2025-02-24 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-02-21 00:00:00,,0,-20436420.14,15611372,-4825048.14,,22553.35,0.8921878894,0.779311039
2025-02-25 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-02-24 00:00:00,,0,-20436420.14,15356389,-5080031.14,,22547.55,0.8919584472,0.766582429
2025-02-27 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-02-25 00:00:00,,0,-20436420.14,15304423,-5131997.14,,22545.05,0.8918595497,0.763988315
2025-02-28 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-02-27 00:00:00,,0,-20436420.14,14822883,-5613537.14,,22124.7,0.8752309256,0.7399501051
2025-03-03 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-02-28 00:00:00,,0,-20436420.14,14420462,-6015958.14,,22119.3,0.8750173071,0.7198614718
2025-03-04 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-03-03 00:00:00,,0,-20436420.14,14269822,-6166598.14,,22082.65,0.8735674698,0.7123416065
2025-03-05 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-03-04 00:00:00,,0,-20436420.14,14417041,-6019379.14,,22337.3,0.8836411683,0.7196906974
2025-03-06 00:00:00,Settlement Posting-NU4231,DLV1-0912-NU4231/HPC39_5,2025-03-05 00:00:00,,0,-20436420.14,14815700,-5620720.14,,22544.7,0.8918457041,0.7395915337
2025-03-07 00:00:00,Settlement Posting-NG5047,DLV2-0703-NG5047/HPC39_5,2025-03-06 00:00:00,0,9468953.26,-10967466.88,5541767,-5425699.88,,22552.5,0.8921542643,0.2766419376
2025-03-10 00:00:00,Settlement Posting-NG5047,DLV2-0703-NG5047/HPC39_5,2025-03-07 00:00:00,0,850583.33,-10116883.81,5541767,-4575116.81,,22460.3,0.8885069248,0.2766419376
2025-03-11 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-03-10 00:00:00,9856893.5,0,-19973777.05,14244817,-5728960.05,,22497.9,0.8899943431,0.7110933707
2025-03-12 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-03-11 00:00:00,,0,-19973777.05,14157971,-5815806.05,,22470.5,0.8889104266,0.7067580665
2025-03-13 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-03-12 00:00:00,,0,-19973777.05,14132624,-5841153.05,,22397.2,0.8860107521,0.7054927583
2025-03-17 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-03-13 00:00:00,,0,-19973777.05,14119796,-5853981.05,,22508.75,0.8904235582,0.7048523917
2025-03-18 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-03-17 00:00:00,,0,-19973777.05,14234484,-5739293.05,,22834.3,0.9033019894,0.7105775531
2025-03-19 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-03-18 00:00:00,,0,-19973777.05,14581989,-5391788.05,,22907.6,0.9062016639,0.7279248101
2025-03-20 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-03-19 00:00:00,,0,-19973777.05,15089842,-4883935.05,,23190.65,0.9173988378,0.7532765504
2025-03-21 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-03-20 00:00:00,,0,-19973777.05,15242592,-4731185.05,,23350.4,0.9237183874,0.7609017458
2025-03-24 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-03-21 00:00:00,,0,-19973777.05,15490002,-4483775.05,,23658.35,0.9359005803,0.7732523159
2025-03-25 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-03-24 00:00:00,,0,-19973777.05,15643593,-4330184.05,,23668.65,0.936308038,0.7809194935
2025-03-26 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-03-25 00:00:00,,0,-19973777.05,15496029,-4477748.05,,23486.85,0.9291162125,0.7735531804
2025-03-27 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-03-26 00:00:00,,0,-19973777.05,15296878,-4676899.05,,23591.95,0.933273863,0.7636116728
2025-03-28 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-03-27 00:00:00,,0,-19973777.05,15708534,-4265243.05,,23519.35,0.9304018798,0.7841613122
2025-04-02 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-03-28 00:00:00,,0,-19973777.05,15766584,-4207193.05,,23165.7,0.9164118408,0.7870591361
2025-04-02 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-04-01 00:00:00,,0,-19973777.05,15605887,-4367890.05,,23332.35,0.9230043475,0.7790372309
2025-04-03 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-04-02 00:00:00,,0,-19973777.05,15861857,-4111920.05,,23250.1,0.9197506201,0.7918151114
2025-04-04 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-04-03 00:00:00,,0,-19973777.05,15957121,-4016656.05,,22904.45,0.906077053,0.7965706375
2025-04-07 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-04-04 00:00:00,,0,-19973777.05,15327161,-4646616.05,,22161.6,0.8766906526,0.7651233834
2025-04-08 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-04-07 00:00:00,,0,-19973777.05,14538495,-5435282.05,,22535.85,0.891495607,0.7257536137
2025-04-09 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-04-08 00:00:00,,0,-19973777.05,14926775,-5047002.05,,22399.15,0.8860878922,0.7451363362
2025-04-11 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-04-09 00:00:00,,0,-19973777.05,14846767,-5127010.05,,22828.55,0.9030745252,0.7411423811
2025-04-15 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-04-11 00:00:00,,0,-19973777.05,15356072,-4617705.05,,23328.55,0.9228540233,0.7665666045
2025-04-16 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-04-15 00:00:00,,0,-19973777.05,15963451,-4010326.05,,23328.55,0.9228540233,0.7968866276
2025-04-17 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-04-16 00:00:00,,0,-19973777.05,16167269,-3806508.05,,23328.55,0.9228540233,0.8070611092
2025-04-21 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-04-17 00:00:00,,0,-19973777.05,16293157,-3680620.05,,23328.55,0.9228540233,0.8133453684
2025-04-22 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-04-21 00:00:00,,0,-19973777.05,16589314,-3384463.05,,23328.55,0.9228540233,0.8281293617
2025-04-23 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-04-22 00:00:00,,0,-19973777.05,16704408,-3269369.05,,23328.55,0.9228540233,0.8338747904
2025-04-24 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-04-23 00:00:00,,0,-19973777.05,16855425,-3118352.05,,23328.55,0.9228540233,0.8414134754
2025-04-25 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-04-24 00:00:00,,0,-19973777.05,16909032,-3064745.05,,23328.55,0.9228540233,0.8440895071
2025-04-28 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-04-25 00:00:00,,0,-19973777.05,16475181,-3498596.05,,23328.55,0.9228540233,0.8224319056
2025-04-29 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-04-28 00:00:00,,0,-19973777.05,16827978,-3145799.05,,23328.55,0.9228540233,0.8400433363
2025-04-30 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-04-29 00:00:00,,0,-19973777.05,17130289,-2843488.05,,23328.55,0.9228540233,0.8551345339
2025-05-02 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-04-30 00:00:00,,0,-19973777.05,16946268,-3027509.05,,23328.55,0.9228540233,0.8459483076
2025-05-05 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-05-02 00:00:00,,0,-19973777.05,16874574,-3099203.05,,23328.55,0.9228540233,0.8423693828
2025-05-06 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-05-05 00:00:00,,0,-19973777.05,17176295,-2797482.05,,23328.55,0.9228540233,0.857431128
2025-05-07 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-05-06 00:00:00,,0,-19973777.05,16668901,-3304876.05,,23328.55,0.9228540233,0.8321023007
2025-05-08 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-05-07 00:00:00,,0,-19973777.05,16758670,-3215107.05,,23328.55,0.9228540233,0.8365835194
2025-05-09 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-05-08 00:00:00,,0,-19973777.05,16634845,-3338932.05,,23328.55,0.9228540233,0.830402244
2025-05-12 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-05-09 00:00:00,,0,-19973777.05,16619066,-3354711.05,,23328.55,0.9228540233,0.8296145651
2025-05-13 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-05-12 00:00:00,,0,-19973777.05,17285497,-2688280.05,,23328.55,0.9228540233,0.8628824313
2025-05-14 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-05-13 00:00:00,,0,-19973777.05,17558479,-2415298.05,,23328.55,0.9228540233,0.8765095415
2025-05-15 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-05-14 00:00:00,,0,-19973777.05,18040659,-1933118.05,,23328.55,0.9228540233,0.9005796998
2025-05-16 00:00:00,Settlement Posting-NG5049,DLV1-1103-NG5049/HPC39_5,2025-05-15 00:00:00,,0,-19973777.05,18134143,-1839634.05,,23328.55,0.9228540233,0.9052463693
